Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.970754623413086,5.970754623413086,5.891363982921088,5.941885342751538,237536000
2020-01-03,5.875186443328857,5.918988548422026,5.826157991152776,5.851045561653233,205384000
2020-01-06,5.899824142456055,5.905050488955514,5.755726032004728,5.781857764502028,262636000
2020-01-07,5.971253395080566,6.01704636446378,5.883151688505547,5.928197968891882,314856000
2020-01-08,5.982451915740967,6.023765219861093,5.926952946804154,5.967021611212417,277108000
2020-01-09,6.048155307769775,6.120577964594168,5.994398450534082,6.068811961421722,255112000
2020-01-10,6.080508708953857,6.185782829312582,6.066323043308651,6.155420169305074,316296000
2020-01-13,6.271146774291992,6.296283085616818,6.140985084223415,6.163633065444852,319840000
2020-01-14,6.1541748046875,6.253724606953968,6.140984093935381,6.22833908695966,359088000
2020-01-15,6.111617088317871,6.189266079309119,6.085734091320788,6.166867313650455,263104000
2020-01-16,6.19523811340332,6.201211148259227,6.141730012391839,6.165124201122954,284192000
2020-01-17,6.203951358795166,6.221870471070284,6.1564162721937175,6.214404055616224,253792000
2020-01-21,6.170601844787598,6.204199999194537,6.136505739519911,6.16736635092024,217916000
2020-01-22,6.224606990814209,6.311215307199664,6.196981875274955,6.215896411562279,239240000
2020-01-23,6.293047904968262,6.301509746751853,6.175828183875581,6.264676573221283,244516000
2020-01-24,6.2338151931762695,6.4583003373897805,6.179560391908617,6.408525194546055,373512000
2020-01-27,5.977972030639648,6.02899133900115,5.779618620640297,5.929192314169117,470536000
2020-01-28,6.171347141265869,6.20370064856638,5.990663647306005,6.043923016293822,310976000
2020-01-29,6.110869884490967,6.192998520374382,6.071049493898521,6.1569115732476645,258848000
2020-01-30,6.11759090423584,6.131030355221164,5.958062456449191,6.013063476063364,290504000
2020-01-31,5.884145259857178,6.083742808298976,5.842334486746621,6.071796737498564,370420000
2020-02-03,5.981207847595215,6.000619860257822,5.859756738000507,5.865978512587702,255564000
2020-02-04,6.150442123413086,6.169605872146606,6.073042338363258,6.123066221076983,271544000
2020-02-05,6.240784168243408,6.281599522897075,6.157410868343357,6.271395565560913,208220000
2020-02-06,6.327641010284424,6.327641010284424,6.193995566539658,6.275128796942113,218284000
2020-02-07,6.261441230773926,6.309723003033855,6.236055704809275,6.287572971010172,189752000
2020-02-10,6.544660568237305,6.5454067824737585,6.279110833313493,6.284088443035795,529608000
